NOC ,NVDA,LMT ,DXC ,RTN ,STZ ,CTAS ,MSCI ,HRS ,HII,UNH,GD,AVGO,FISV,BA,ADBE,SPGI,GPN,ALGN,EA,CME ,ETFC,PGR ,NFLX ,NDAQ ,AMZN,TTWO ,FB ,IDXX ,TSS UN,WM UN,MA UN,AOS,ITW,MAR,MMC,CBOE,HUM,SYK,ANTM ,TDG,LRCX ,RSG ,MSFT ,V ,BSX ,BDX ,DPS ,LUV,ATVI
70.645,13.361,87.648,11.674,56.996,47.891,42.215,32.457,43.633,50.549,57.593,67.881,30.853,22.348,83.877,43.61,51.518,23.116,37.07,21.74,49.09,11.19,22.906,32.769,27.986,264.51,16.39,26.82,43.5,22.8,35.567,52.207,17.791,61.431,40.78,35.952,36.721,76.744,63.915,69.933,93.863,44.588,29.702,29.024,41.133,8.65,92.126,42.982,13.39,14.117
71.92,13.558,88.491,11.841,57.629,48.638,42.45,32.945,43.901,51.154,56.984,69.181,30.927,22.45,85.072,44.04,51.91,23.468,36.28,22.41,49.746,11.52,23.254,33.424,28.39,268.33,16.54,27.07,44.385,22.819,35.974,53.506,18.174,62.412,41.089,36.52,37.036,76.475,64.483,71.764,95.112,45.149,29.798,29.67,41.453,8.7,93.448,43.316,13.419,14.559
72.348,13.793,89.506,10.697,58.636,48.745,42.864,32.763,44.373,51.56,56.873,69.154,31.367,22.565,85.878,45.07,52.209,23.17,36.22,22.64,50.003,11.34,23.459,34.771,28.583,266.56,16.34,26.6,43.765,22.8,36.39,53.946,18.217,63.131,41.098,36.709,37.073,76.485,64.688,71.608,98.033,45.776,30.247,29.954,42.092,9.1,93.053,44.247,13.764,14.329
71.974,13.727,89.463,10.19,58.521,50.22,42.704,33.06,44.025,52.118,57.362,68.73,31.395,22.237,85.488,44.56,51.817,23.235,36.85,22.02,50.152,11.32,23.316,33.861,28.243,264.12,16.02,26.13,43.3,22.743,36.399,53.55,18.067,62.889,40.369,36.754,37.296,76.34,64.344,70.697,95.473,45.168,30.361,30.157,41.638,9.04,92.282,43.571,13.572,14.29
74.862,13.952,91.536,10.671,59.635,50.656,43.156,33.146,44.943,52.732,58.008,70.67,31.597,22.647,87.559,44.61,52.003,23.543,37.59,22.21,50.886,11.53,23.343,34.143,28.702,269.9,16.33,26.25,43.2,23.028,36.746,54.925,18.108,63.671,40.874,37.025,37.74,77.399,64.195,71.589,94.953,45.643,30.669,30.856,42.743,9.1,93.457,43.272,13.803,14.367
74.334,13.924,91.666,10.683,59.537,49.919,43.165,33.022,44.854,52.203,57.75,70.95,31.606,22.55,87.382,44.29,51.341,23.493,37.8,21.79,50.956,11.52,23.352,34.221,28.776,267.63,16.21,25.76,42.825,22.971,36.919,54.789,18.176,63.869,40.528,37.025,37.62,76.6,64.036,71.295,94.96,45.548,30.73,31.042,42.057,9.25,92.851,42.85,13.678,14.598
74.197,14.07,92.035,10.599,59.519,50.346,43.156,33.203,44.684,52.902,58.036,70.391,32.203,22.5,87.409,44.02,51.882,23.553,38.16,21.97,50.222,11.47,23.29,33.87,28.638,268.86,16.07,25.66,42.78,22.847,37.058,54.931,18.076,64.013,40.64,37.304,37.796,76.504,64.511,71.856,94.694,45.529,30.844,30.838,42.043,9.23,92.75,42.42,13.736,14.973
73.65,13.58,91.605,10.398,59.055,49.967,42.648,32.744,44.444,52.495,57.492,69.885,31.716,22.338,86.683,43.17,51.07,23.344,37.3,21.75,49.246,11.32,23.067,32.651,28.445,262.96,15.88,25.16,41.685,22.514,36.685,54.167,17.693,63.689,40.133,36.763,37.184,76.167,63.077,71.589,95.068,44.607,30.37,30.626,41.717,9.13,91.841,42.402,13.467,14.704
74.008,13.797,91.442,10.446,59.51,50.336,42.168,32.983,44.622,52.902,57.565,69.452,31.175,22.2,88.294,42.77,50.444,23.339,36.98,22.65,50.074,11.4,23.022,32.311,28.39,261.8,15.95,25.06,42.24,22.457,36.667,53.511,17.752,63.212,39.955,36.466,37.546,76.812,62.648,71.746,93.699,44.474,30.51,30.219,41.245,9.16,91.979,41.849,13.793,14.944
74.577,13.712,92.096,10.35,59.492,51.423,42.3,32.964,44.862,52.278,57.288,69.813,31.294,22.022,88.515,42.43,50.163,23.404,36.7,22.77,50.394,11.31,23.005,32.677,28.206,261.74,16.02,24.31,41.905,22.505,36.737,53.674,17.734,63.176,40.133,36.43,37.527,75.936,62.415,70.826,93.16,44.284,30.431,30.325,41.789,9.08,92.585,42.253,13.707,15.011
