State,Area_Name,N_POP_CHG_2017,POVALL_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Median_Household_Income_2016,Avg Daily Max Air Temperature (F),Avg Daily Min Air Temperature (F),Avg Daily Max Heat Index (F),CrimeRate
PA,Pennsylvania,18452.00 ,1589584.00 ,743.00 ,714.00 ,29.00 ,3.90 ,35341.00 ,58.79 ,44.28 ,88.21 ,314.10 
RI,Rhode Island,2073.00 ,134683.00 ,13958.00 ,13224.00 ,734.00 ,5.30 ,55836.00 ,75.69 ,54.94 ,94.86 ,219.20 
SC,South Carolina,64547.00 ,739574.00 ,323988.00 ,308436.00 ,15552.00 ,4.80 ,52011.00 ,58.50 ,38.58 ,90.26 ,497.70 
SD,South Dakota,8124.00 ,107953.00 ,12389.00 ,11603.00 ,786.00 ,6.30 ,28314.00 ,69.49 ,50.92 ,94.06 ,326.50 
TN,Tennessee,66580.00 ,1023825.00 ,11541.00 ,11200.00 ,341.00 ,3.00 ,54665.00 ,82.45 ,56.88 ,94.79 ,608.40 
TX,Texas,399734.00 ,4261291.00 ,118004.00 ,114854.00 ,3150.00 ,2.70 ,107942.00 ,56.96 ,40.19 ,84.42 ,405.90 
UT,Utah,57512.00 ,307270.00 ,5445.00 ,5045.00 ,400.00 ,7.30 ,34136.00 ,51.96 ,38.29 ,87.55 ,215.60 
VT,Vermont,303.00 ,67825.00 ,1472.00 ,1363.00 ,109.00 ,7.40 ,43080.00 ,67.59 ,48.77 ,91.25 ,99.30 
VA,Virginia,55640.00 ,897244.00 ,22954.00 ,22247.00 ,707.00 ,3.10 ,47074.00 ,53.71 ,38.64 ,84.14 ,196.20 
WA,Washington,124809.00 ,808582.00 ,6820.00 ,6460.00 ,360.00 ,5.30 ,49231.00 ,62.75 ,45.89 ,89.82 ,285.20 
WV,West Virginia,-12780.00 ,318368.00 ,23465.00 ,22426.00 ,1039.00 ,4.40 ,42693.00 ,54.29 ,36.89 ,90.94 ,302.00 
WI,Wisconsin,22566.00 ,661465.00 ,36269.00 ,34292.00 ,1977.00 ,5.50 ,46737.00 ,51.55 ,34.00 ,83.57 ,290.30 
WY,Wyoming,-5595.00 ,62416.00 ,94244.00 ,91437.00 ,2807.00 ,3.00 ,57003.00 ,63.87 ,44.41 ,91.82 ,195.50 
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
