"","County","State","index","Rate"
"699","Doniphan County","KS","95.73",3.7
"700","Donley County","TX","92.88",4
"701","Door County","WI","86.97",4.4
"702","Dorchester County","MD","90.38",5.8
"703","Dorchester County","SC","95.68",3.6
"704","Douglas County","CO","82.19",2.3
"705","Douglas County","IL","94.54",4.3
"706","Douglas County","KS","96.85",3.2
"707","Douglas County","MN","89.08",3.1
"708","Douglas County","MO","95.51",4.7
"709","Douglas County","NE","93.94",3.1
"710","Douglas County","NV","80.96",4.9
"711","Douglas County","OR","84.15",6
"712","Douglas County","SD","92.04",2.6
"713","Douglas County","WA","83.01",6.8
"714","Douglas County","WI","89.56",5
"715","Drew County","AR","97.80",5
"716","Dubois County","IN","94.90",2.8
"717","Dubuque County","IA","92.84",2.7
"718","Duchesne County","UT","82.08",5.9
"720","Dundy County","NE","90.09",2.3
"721","Dunklin County","MO","97.66",6.5
"722","Dunn County","ND","86.82",2.8
"723","Dunn County","WI","90.78",3.3
"724","Duplin County","NC","95.02",5
"725","Durham County","NC","93.75",4.3
"726","Dutchess County","NY","89.06",3.9
"727","Duval County","TX","96.50",10.4
"728","Dyer County","TN","97.34",5.7
"729","Eagle County","CO","80.00",3.2
"730","Eastland County","TX","95.03",4.8
"731","Eaton County","MI","90.70",3.2
"732","Eau Claire County","WI","90.94",3
"733","Ector County","TX","91.16",5.3
"734","Eddy County","ND","87.99",3.5
"735","Eddy County","NM","89.60",6.5
"736","Edgar County","IL","94.31",6.1
"737","Edgecombe County","NC","94.81",7.8
"738","Edgefield County","SC","95.37",4.6
"739","Edmonson County","KY","94.83",5
"740","Edmunds County","SD","89.95",2.1
"741","Edwards County","IL","95.77",4.8
"742","Edwards County","KS","93.94",3.1
"743","Edwards County","TX","92.43",4.1
"744","Effingham County","IL","95.48",4
"745","El Dorado County","CA","85.05",4.7
"746","El Paso County","CO","84.16",3.2
"747","El Paso County","TX","88.49",4.6
"748","Elbert County","CO","84.18",2.2
"749","Elk County","KS","97.19",4.6
"750","Elk County","PA","87.28",5.4
"751","Elkhart County","IN","91.43",3.3
"752","Elko County","NV","81.86",3.8
"753","Elliott County","KY","92.61",8.4
"754","Ellis County","KS","93.66",2.8
"755","Ellis County","OK","94.14",3.4
"756","Ellis County","TX","98.56",3.4
"757","Ellsworth County","KS","94.96",3.5
"758","Elmore County","AL","95.79",4.7
"759","Elmore County","ID","85.07",4.1
"760","Emery County","UT","84.41",4.2
"761","Emmet County","IA","92.04",4.9
"762","Emmet County","MI","87.97",6
"763","Emmons County","ND","88.80",4.4
"764","Erath County","TX","95.87",3.6
"765","Erie County","NY","88.43",4.7
"766","Erie County","OH","90.51",5.5
"767","Erie County","PA","86.86",5.9
"768","Escambia County","AL","94.99",6.2
"769","Esmeralda County","NV","83.62",3.7
"770","Essex County","MA","87.41",2.7
"771","Essex County","NJ","89.84",5
"772","Essex County","NY","87.94",5.3
"773","Essex County","VA","92.85",5
"774","Essex County","VT","86.56",5.3
"775","Estill County","KY","92.96",4.8
"776","Etowah County","AL","94.53",5.6
"777","Eureka County","NV","82.17",3.7
"778","Fairfax County","VA","92.41",3.2
"779","Fairfield County","CT","89.16",3.6
"780","Fairfield County","OH","91.41",3.8
"781","Fairfield County","SC","94.96",5.7
"782","Fall River County","SD","87.34",3.6
"783","Fallon County","MT","85.82",2.6
"784","Falls County","TX","98.29",4.1
"785","Fannin County","TX","98.36",3.6
"786","Faribault County","MN","91.66",3.8
"787","Faulk County","SD","90.29",2.6
"788","Faulkner County","AR","97.36",3.3
"789","Fauquier County","VA","91.93",3.4
"790","Fayette County","AL","95.61",6.3
"791","Fayette County","IA","91.93",3.8
"792","Fayette County","IL","95.80",5.7
"793","Fayette County","IN","92.47",5.3
"794","Fayette County","KY","92.71",2.9
"795","Fayette County","OH","91.58",3.7
"796","Fayette County","PA","88.47",7.3
"797","Fayette County","TN","96.82",5.1
"798","Fayette County","TX","97.49",3.5
"799","Fayette County","WV","88.26",7.1
"800","Fentress County","TN","90.92",5.7
"801","Fergus County","MT","83.80",3.4
"802","Ferry County","WA","81.95",10.3
"803","Fillmore County","MN","90.98",3.2
"804","Fillmore County","NE","93.55",2.6
"805","Finney County","KS","92.30",2.9
"806","Fisher County","TX","94.14",4.1
"807","Flathead County","MT","81.22",5.4
"808","Fleming County","KY","92.90",4.2
"809","Florence County","SC","95.71",4.2
"810","Florence County","WI","87.73",5.6
"811","Floyd County","IA","91.87",2.9
"812","Floyd County","IN","94.21",3.7
"813","Floyd County","KY","91.59",8.2
"814","Floyd County","TX","91.13",4.3
"815","Floyd County","VA","86.29",3.9
"816","Fluvanna County","VA","92.96",3.2
"817","Foard County","TX","96.08",4.7
"818","Fond du Lac County","WI","90.39",2.9
"819","Ford County","IL","93.35",4.7
"820","Ford County","KS","93.19",3.1
"821","Forest County","PA","87.80",7.5
"822","Forest County","WI","87.56",5.3
"823","Forrest County","MS","95.51",5.1
"824","Forsyth County","NC","92.28",4.6
"825","Fort Bend County","TX","97.14",4.8
"826","Foster County","ND","88.06",2.1
"827","Fountain County","IN","94.02",4.8
"828","Franklin County","AL","95.01",5.6
"829","Franklin County","AR","96.88",3.5
"830","Franklin County","IA","92.48",2.9
"831","Franklin County","ID","82.29",3.1
"832","Franklin County","IL","96.60",7.1
"833","Franklin County","IN","92.80",3.7
"834","Franklin County","KS","96.94",3.6
"835","Franklin County","KY","93.79",3.2
"836","Franklin County","MA","88.21",2.3
"837","Franklin County","ME","87.01",4.7
"838","Franklin County","MO","96.83",3.3
"839","Franklin County","MS","95.75",6
"840","Franklin County","NC","93.95",4.9
"841","Franklin County","NE","92.61",2.9
"842","Franklin County","NY","87.98",5.2
"843","Franklin County","OH","91.91",3.7
"844","Franklin County","PA","89.89",4.6
"845","Franklin County","TN","92.72",5
"846","Franklin County","TX","98.40",4.9
"847","Franklin County","VA","90.97",4.2
"848","Franklin County","VT","88.37",2.9
"849","Franklin County","WA","86.36",7.5
"850","Frederick County","MD","90.91",3.4
"851","Frederick County","VA","90.10",3.3
"852","Freeborn County","MN","90.97",3.7
"853","Freestone County","TX","98.36",6.3
"854","Fremont County","CO","82.91",4.3
"855","Fremont County","IA","94.73",2.9
"856","Fremont County","ID","81.33",3
"857","Fremont County","WY","82.40",5.8
"858","Fresno County","CA","90.81",9.3
"859","Frio County","TX","97.41",4.6
"860","Frontier County","NE","90.88",2.3
"861","Fulton County","AR","96.81",3.8
"862","Fulton County","IL","95.47",6.5
"863","Fulton County","IN","92.42",4.1
"864","Fulton County","KY","97.27",5.3
"865","Fulton County","NY","87.65",5.2
"866","Fulton County","OH","91.30",4
"867","Fulton County","PA","89.04",5.5
"868","Furnas County","NE","92.27",2.4
"869","Gage County","NE","93.97",3
"870","Gaines County","TX","90.25",3.2
"871","Gallatin County","IL","96.32",6.5
"872","Gallatin County","KY","93.97",4.2
"873","Gallatin County","MT","81.62",3.1
"874","Gallia County","OH","92.12",5.8
"875","Galveston County","TX","96.25",5.1
"876","Garden County","NE","87.35",4.1
"877","Garfield County","CO","81.24",3
"878","Garfield County","MT","85.35",2.8
"879","Garfield County","NE","90.98",2.4
"880","Garfield County","OK","97.55",4.2
"881","Garfield County","UT","84.19",6.8
"882","Garfield County","WA","84.28",5.7
"883","Garland County","AR","96.38",4
"884","Garrard County","KY","92.95",4
"885","Garrett County","MD","85.84",4.8
"886","Garvin County","OK","97.74",5
"887","Garza County","TX","92.77",3.6
"888","Gasconade County","MO","96.57",5.7
"889","Gaston County","NC","93.38",5.2
"890","Gates County","NC","94.21",5.1
"891","Geary County","KS","95.99",5.1
"892","Geauga County","OH","89.25",3.6
"893","Gem County","ID","85.22",4.3
"894","Genesee County","MI","90.87",4.7
"895","Genesee County","NY","88.29",4.5
"896","Geneva County","AL","95.33",5.4
"897","Gentry County","MO","95.66",2.9
"898","George County","MS","95.49",6.3
"899","Georgetown County","SC","95.27",5.2
"900","Gibson County","IN","95.63",3.2
"901","Gibson County","TN","96.82",5.8
"902","Gila County","AZ","86.88",6.6
"903","Giles County","TN","94.49",4
"904","Giles County","VA","86.35",5.1
"905","Gillespie County","TX","92.97",2.7
"906","Gilliam County","OR","84.25",4.8
"907","Gilmer County","WV","90.58",6.3
"908","Gilpin County","CO","79.12",2
"909","Glacier County","MT","81.00",7.7
"910","Gladwin County","MI","89.42",5.7
"911","Glasscock County","TX","91.81",3.3
"912","Glenn County","CA","89.04",7.2
"913","Gloucester County","NJ","91.21",4.3
"914","Gloucester County","VA","92.59",3.6
"915","Gogebic County","MI","87.34",6.1
"916","Golden Valley County","MT","83.76",4.1
"917","Golden Valley County","ND","85.90",2.2
"918","Goliad County","TX","97.23",5.1
"919","Gonzales County","TX","97.42",3.8
"920","Goochland County","VA","93.12",3.7
"921","Goodhue County","MN","91.00",3
"922","Gooding County","ID","85.69",2.7
"923","Goshen County","WY","86.19",2.8
"924","Gosper County","NE","91.40",2.1
"925","Gove County","KS","92.26",2.5
"926","Grady County","OK","97.20",4.6
"927","Grafton County","NH","87.30",2.3
"928","Graham County","AZ","87.72",5.6
"929","Graham County","KS","92.66",3.5
"930","Graham County","NC","86.63",7.6
"931","Grainger County","TN","91.41",5.3
"932","Grand County","CO","79.40",2.3
"933","Grand County","UT","84.80",4.9
"934","Grand Forks County","ND","88.47",2.1
"935","Grand Isle County","VT","88.52",3.6
"936","Grand Traverse County","MI","88.76",3.6
"937","Granite County","MT","80.67",5.4
"938","Grant County","AR","98.02",3.2
"939","Grant County","IN","92.05",4.4
"940","Grant County","KS","91.93",3.5
"941","Grant County","KY","93.19",4
"942","Grant County","MN","90.38",3.7
"943","Grant County","ND","87.85",2.8
"944","Grant County","NE","87.12",2.5
"945","Grant County","NM","84.94",6.4
"946","Grant County","OK","97.40",2.9
"947","Grant County","OR","81.17",6.4
"948","Grant County","SD","90.94",2.8
"949","Grant County","WA","84.90",7.3
"950","Grant County","WI","92.31",3.2
"951","Grant County","WV","87.51",4.9
"952","Granville County","NC","93.30",4.2
"953","Gratiot County","MI","90.44",4.7
"954","Graves County","KY","96.54",5.3
"955","Gray County","KS","92.62",2.3
"956","Gray County","TX","91.87",6.2
"957","Grays Harbor County","WA","84.12",8.3
"958","Grayson County","KY","94.47",6.1
"959","Grayson County","TX","98.31",3.4
"960","Grayson County","VA","85.18",4.6
"961","Greeley County","KS","90.17",2.1
"962","Greeley County","NE","92.07",2.6
"963","Green County","KY","94.38",3.6
"964","Green County","WI","92.13",2.8
"965","Green Lake County","WI","90.66",4.3
"966","Greenbrier County","WV","86.25",4.6
"967","Greene County","AL","96.63",10
"968","Greene County","AR","97.62",4
"969","Greene County","IA","93.27",2.1
"970","Greene County","IL","96.58",5.1
"971","Greene County","IN","94.80",5.4
"972","Greene County","MO","95.63",3.1
"973","Greene County","MS","95.74",6.2
"974","Greene County","NC","95.15",4.5
"975","Greene County","NY","88.69",4.9
"976","Greene County","OH","91.79",3.8
"977","Greene County","PA","89.41",6.3
"978","Greene County","TN","90.36",5.1
"979","Greene County","VA","88.99",3
"980","Greenlee County","AZ","86.02",6
"981","Greensville County","VA","93.98",5.2
"982","Greenup County","KY","92.93",6.6
"983","Greenville County","SC","93.01",3.4
"984","Greenwood County","KS","96.88",4.4
"985","Greenwood County","SC","94.93",4.2
"986","Greer County","OK","95.86",6.7
"987","Gregg County","TX","97.67",5.5
"988","Gregory County","SD","91.41",2.9
"989","Grenada County","MS","96.55",5
"990","Griggs County","ND","88.17",2.2
"991","Grimes County","TX","97.40",6.2
"992","Grundy County","IA","92.85",2.9
"993","Grundy County","IL","93.31",5.8
"994","Grundy County","MO","96.14",3.5
"995","Grundy County","TN","89.83",6.9
"996","Guadalupe County","NM","87.23",7.2
"997","Guadalupe County","TX","97.13",3.3
"998","Guernsey County","OH","90.90",6.2
"999","Guilford County","NC","92.50",4.8
"1000","Gunnison County","CO","79.55",2
"1001","Guthrie County","IA","93.31",2.6
"1002","Haakon County","SD","89.74",2.5
"1003","Hale County","AL","96.40",7.2
"1004","Hale County","TX","90.57",5
"1005","Halifax County","NC","94.20",7.6
"1006","Halifax County","VA","93.42",5.7
"1007","Hall County","NE","92.71",3.1
"1008","Hall County","TX","94.48",6.7
"1009","Hamblen County","TN","91.60",4.8
"1010","Hamilton County","IA","93.01",3
"1011","Hamilton County","IL","96.17",5
"1012","Hamilton County","IN","92.68",3
"1013","Hamilton County","KS","90.83",2.5
"1014","Hamilton County","NE","92.98",2.4
"1015","Hamilton County","NY","86.49",8.4
"1016","Hamilton County","OH","93.52",4
"1017","Hamilton County","TN","93.53",4.6
"1018","Hamilton County","TX","95.75",4.4
"1019","Hamlin County","SD","90.28",2.6
"1020","Hampden County","MA","88.50",3.4
"1021","Hampshire County","MA","88.36",2.2
"1022","Hampshire County","WV","89.07",3.4
"1023","Hampton County","SC","96.28",4.5
"1024","Hancock County","IA","92.05",2.2
"1025","Hancock County","IL","95.99",5.7
"1026","Hancock County","IN","92.54",3.3
"1027","Hancock County","KY","94.99",4.3
"1028","Hancock County","ME","87.03",4.8
"1029","Hancock County","MS","95.69",5.6
"1030","Hancock County","OH","91.27",3.2
"1031","Hancock County","TN","90.24",7.1
"1032","Hancock County","WV","90.02",5.7
"1033","Hand County","SD","90.80",2
"1034","Hanover County","VA","92.98",3.4
"1035","Hansford County","TX","91.61",2.8
"1036","Hanson County","SD","92.77",3.3
"1037","Hardeman County","TN","96.33",5.9
"1038","Hardeman County","TX","96.00",3.8
"1039","Hardin County","IA","93.04",3.3
"1040","Hardin County","IL","95.77",7.5
"1041","Hardin County","KY","94.03",3.7
"1042","Hardin County","OH","91.15",4.5
"1043","Hardin County","TN","96.09",6
"1044","Hardin County","TX","96.71",5.7
"1045","Harding County","NM","87.62",5.9
"1046","Harding County","SD","86.39",3.3
"1047","Hardy County","WV","87.64",4.8
"1048","Harford County","MD","91.60",3.7
"1049","Harlan County","KY","88.36",8.9
"1050","Harlan County","NE","92.53",2.3
"1051","Harmon County","OK","95.76",3.1
"1052","Harnett County","NC","94.78",5.3
"1053","Harney County","OR","81.58",5.7
"1054","Harper County","KS","96.56",3.7
"1055","Harper County","OK","95.20",3.7
"1056","Harris County","TX","97.01",4.9
"1057","Harrison County","IA","93.40",2.6
"1058","Harrison County","IN","94.25",3.8
"1059","Harrison County","KY","93.13",4.1
"1060","Harrison County","MO","95.61",3.4
"1061","Harrison County","MS","95.81",5.1
"1062","Harrison County","OH","90.19",6.1
"1063","Harrison County","TX","97.74",5.4
"1064","Harrison County","WV","89.61",5
"1065","Hart County","KY","94.40",3.8
"1066","Hartford County","CT","89.13",3.9
"1067","Hartley County","TX","89.79",1.9
"1068","Harvey County","KS","95.56",4.1
"1069","Haskell County","KS","92.12",2.5
"1070","Haskell County","OK","98.71",7.9
"1071","Haskell County","TX","95.71",4.7
"1072","Hawkins County","TN","90.66",5.2
"1073","Hayes County","NE","90.06",2.3
"1074","Hays County","TX","96.04",3.1
"1075","Haywood County","NC","84.97",4.3
"1076","Haywood County","TN","97.22",5.8
"1077","Hemphill County","TX","93.53",3.2
"1078","Hempstead County","AR","97.75",3.4
"1079","Henderson County","IL","95.24",4.8
"1080","Henderson County","KY","96.02",4
"1081","Henderson County","NC","87.16",4.1
"1082","Henderson County","TN","96.03",6.2
"1083","Henderson County","TX","98.05",4.4
"1084","Hendricks County","IN","92.98",3.2
"1085","Hennepin County","MN","91.26",2.9
"1086","Henrico County","VA","93.07",3.8
"1087","Henry County","AL","95.31",6.5
"1088","Henry County","IA","95.42",3
"1089","Henry County","IL","93.87",5.6
"1090","Henry County","IN","91.76",4.1
"1091","Henry County","KY","93.71",3.3
"1092","Henry County","MO","97.74",4.2
"1093","Henry County","OH","91.74",4.1
"1094","Henry County","TN","96.33",5.6
"1095","Henry County","VA","91.87",5.8
"1096","Herkimer County","NY","87.72",5.2
"1097","Hertford County","NC","94.27",6
"1098","Hettinger County","ND","86.89",2.7
"1099","Hickman County","KY","96.97",4.7
"1100","Hickman County","TN","95.29",4.3
"1101","Hickory County","MO","96.93",5
"1102","Hidalgo County","NM","86.86",5
"1103","Hidalgo County","TX","96.94",7.1
"1104","Highland County","OH","91.92",5.6
"1105","Highland County","VA","85.03",3.4
"1106","Hill County","MT","83.72",4
"1107","Hill County","TX","98.16",4
"1108","Hillsborough County","NH","87.59",2.6
"1109","Hillsdale County","MI","90.25",4.7
"1110","Hinds County","MS","96.54",4.9
"1111","Hinsdale County","CO","79.90",1.7
"1112","Hitchcock County","NE","90.75",3.3
"1113","Hocking County","OH","91.66",4.7
"1114","Hockley County","TX","90.13",3.9
"1115","Hodgeman County","KS","93.41",2.8
"1116","Hoke County","NC","94.85",6.3
"1117","Holmes County","MS","96.76",9.2
"1118","Holmes County","OH","90.22",3.1
"1119","Holt County","MO","95.39",2.2
"1120","Holt County","NE","91.61",2.3
"1121","Hood County","TX","97.20",4.4
"1122","Hood River County","OR","83.42",4.2
"1123","Hooker County","NE","88.01",3.2
"1124","Hopkins County","KY","95.92",4.4
"1125","Hopkins County","TX","98.25",3.7
"1126","Horry County","SC","95.22",4.9
"1127","Hot Spring County","AR","97.39",3.5
"1128","Hot Springs County","WY","83.09",4.2
"1129","Houghton County","MI","87.61",4.8
"1130","Houston County","AL","95.38",5.5
"1131","Houston County","MN","91.63",3
"1132","Houston County","TN","95.81",6.4
"1133","Houston County","TX","97.39",4.4
"1134","Howard County","AR","96.72",3
"1135","Howard County","IA","90.84",2.6
"1136","Howard County","IN","92.51",4.1
"1137","Howard County","MD","91.49",3
"1138","Howard County","MO","96.74",3.4
"1139","Howard County","NE","92.82",2.9
"1140","Howard County","TX","92.28",5.4
"1141","Howell County","MO","95.84",5.4
"1142","Hubbard County","MN","87.79",6.3
"1143","Hudson County","NJ","89.64",3.9
"1144","Hudspeth County","TX","87.70",6
"1145","Huerfano County","CO","83.26",5.4
"1146","Hughes County","OK","98.37",6.8
"1147","Hughes County","SD","90.52",2.1
"1148","Humboldt County","CA","82.99",4.5
"1149","Humboldt County","IA","92.73",2.2
"1150","Humboldt County","NV","82.73",4.5
"1151","Humphreys County","MS","97.67",9.4
"1152","Humphreys County","TN","95.74",5.4
"1153","Hunt County","TX","98.26",3.8
"1154","Hunterdon County","NJ","90.15",3
"1155","Huntingdon County","PA","88.82",6.3
"1156","Huntington County","IN","92.13",3.5
"1157","Huron County","MI","89.23",4
"1158","Huron County","OH","90.91",5.5
"1159","Hutchinson County","SD","92.71",2.3
"1160","Hutchinson County","TX","91.95",5.5
"1161","Hyde County","NC","93.56",9.5
"1162","Hyde County","SD","89.91",2.6
"1163","Ida County","IA","92.25",2
"1164","Idaho County","ID","82.20",5.6
"1165","Imperial County","CA","95.12",22.1
"1166","Independence County","AR","97.61",4.3
"1167","Indiana County","PA","88.11",6
"1168","Ingham County","MI","90.40",3.6
"1169","Inyo County","CA","88.85",4.8
"1170","Ionia County","MI","90.70",3.5
"1171","Iosco County","MI","88.93",6
"1172","Iowa County","IA","93.97",2.4
"1173","Iowa County","WI","91.72",2.8
"1174","Iredell County","NC","92.41",4.5
"1175","Irion County","TX","92.19",3.2
"1176","Iron County","MI","87.16",5.8
"1177","Iron County","MO","95.32",5.6
"1178","Iron County","UT","82.58",3.6
"1179","Iron County","WI","87.95",6.3
"1180","Iroquois County","IL","93.35",4.9
"1181","Isabella County","MI","89.69",3.9
"1182","Isanti County","MN","90.79",3.7
"1183","Island County","WA","84.48",5.7
"1184","Isle of Wight County","VA","93.58",4.2
"1185","Issaquena County","MS","97.86",11.8
"1186","Itasca County","MN","87.62",8.1
"1187","Itawamba County","MS","96.10",4.5
"1188","Izard County","AR","97.15",5.1
"1189","Jack County","TX","97.10",4
"1190","Jackson County","AL","93.48",5.9
"1191","Jackson County","AR","97.97",5.4
"1192","Jackson County","CO","79.14",1.8
"1193","Jackson County","IA","93.51",3.1
"1194","Jackson County","IL","96.73",4.9
"1195","Jackson County","IN","94.29",3.3
"1196","Jackson County","KS","95.76",3.3
"1197","Jackson County","KY","91.86",5.9
"1198","Jackson County","MI","90.19",4.3
"1199","Jackson County","MN","91.05",3
"1200","Jackson County","MO","96.73",4.4
"1201","Jackson County","MS","95.70",6
"1202","Jackson County","NC","85.67",4.6
"1203","Jackson County","OH","92.27",6.9
"1204","Jackson County","OK","96.61",4.3
"1205","Jackson County","OR","83.67",5.1
"1206","Jackson County","SD","89.50",4.4
"1207","Jackson County","TN","94.53",7
"1208","Jackson County","TX","97.54",4.4
"1209","Jackson County","WI","90.84",3.6
"1210","Jackson County","WV","91.45",5.4
"1211","James City County","VA","92.86",3.8
"1212","Jasper County","IA","94.27",3
"1213","Jasper County","IL","95.53",5.5
"1214","Jasper County","IN","92.84",4.3
"1215","Jasper County","MO","97.23",3.6
"1216","Jasper County","MS","95.42",6.6
"1217","Jasper County","SC","95.76",3.5
"1218","Jasper County","TX","96.83",7.6
"1219","Jay County","IN","91.82",4
"1220","Jeff Davis County","TX","86.30",2.9
"1221","Jefferson County","AL","95.35",5.5
"1222","Jefferson County","AR","97.87",4.8
"1223","Jefferson County","CO","82.85",2.5
"1224","Jefferson County","IA","95.38",3.6
"1225","Jefferson County","ID","83.04",3
"1226","Jefferson County","IL","96.23",5.7
"1227","Jefferson County","IN","93.58",4.3
"1228","Jefferson County","KS","96.31",3.5
"1229","Jefferson County","KY","94.59",3.6
"1230","Jefferson County","MO","96.90",3.3
"1231","Jefferson County","MS","96.50",10.8
"1232","Jefferson County","MT","81.10",4
"1233","Jefferson County","NE","94.15",2.2
"1234","Jefferson County","NY","87.21",6.2
"1235","Jefferson County","OH","90.12",6.9
"1236","Jefferson County","OK","98.03",7.1
"1237","Jefferson County","OR","82.43",6.2
"1238","Jefferson County","PA","87.91",6.1
"1239","Jefferson County","TN","91.86",4.9
"1240","Jefferson County","TX","96.50",6.6
"1241","Jefferson County","WA","82.70",7.3
"1242","Jefferson County","WI","91.69",3.6
"1243","Jefferson County","WV","91.08",2.7
"1244","Jefferson Davis County","MS","95.42",7.4
"1245","Jennings County","IN","93.62",4.1
"1246","Jerauld County","SD","91.50",2.5
"1247","Jerome County","ID","85.78",3.2
"1248","Jersey County","IL","96.52",5
"1249","Jessamine County","KY","92.98",3.2
"1250","Jewell County","KS","94.04",4
"1251","Jim Hogg County","TX","96.32",8.9
"1252","Jim Wells County","TX","97.07",9.3
"1253","Jo Daviess County","IL","92.90",4.2
"1254","Johnson County","AR","95.80",4.1
"1255","Johnson County","IA","94.16",2.1
"1256","Johnson County","IL","96.30",7.8
"1257","Johnson County","IN","93.27",3.2
"1258","Johnson County","KS","96.46",3.1
"1259","Johnson County","KY","92.34",7.5
"1260","Johnson County","MO","97.01",3.9
"1261","Johnson County","NE","94.03",3.3
"1262","Johnson County","TN","85.75",4.8
"1263","Johnson County","TX","97.55",3.9
"1264","Johnson County","WY","84.10",4.4
"1265","Johnston County","NC","94.74",4.3
"1266","Johnston County","OK","98.03",5.7
"1267","Jones County","IA","93.46",3.1
"1268","Jones County","MS","95.86",5.4
"1269","Jones County","NC","94.69",4.9
"1270","Jones County","SD","90.19",3
"1271","Jones County","TX","95.07",5.5
"1272","Josephine County","OR","83.66",6
"1273","Juab County","UT","83.96",2.4
"1274","Judith Basin County","MT","81.92",3.5
"1275","Juneau County","WI","90.73",4.2
"1276","Juniata County","PA","89.57",4.9
"1277","Kalamazoo County","MI","91.19",3.6
"1278","Kalkaska County","MI","88.30",5.8
"1279","Kanabec County","MN","89.72",5.7
"1280","Kanawha County","WV","91.22",4.8
"1281","Kandiyohi County","MN","90.51",3
"1282","Kane County","IL","92.41",4.8
"1283","Kane County","UT","84.99",2.8
"1284","Kankakee County","IL","93.21",5.6
"1285","Karnes County","TX","97.36",4.4
"1286","Kaufman County","TX","98.81",3.4
"1287","Kay County","OK","97.34",6.1
"1288","Kearney County","NE","92.22",2.4
"1289","Kearny County","KS","91.41",2.9
"1290","Keith County","NE","88.76",2.8
"1291","Kemper County","MS","95.84",9.2
"1292","Kendall County","IL","93.21",4.8
"1293","Kendall County","TX","94.06",3.1
"1294","Kenedy County","TX","96.84",5
"1295","Kennebec County","ME","87.82",3.7
"1296","Kenosha County","WI","91.81",4.2
"1297","Kent County","DE","90.69",4.1
"1298","Kent County","MD","91.73",4.4
"1299","Kent County","MI","90.87",3.1
"1300","Kent County","RI","88.54",4.1
"1301","Kent County","TX","93.92",2.7
"1302","Kenton County","KY","93.30",3.4
"1303","Keokuk County","IA","94.59",3.7
"1304","Kern County","CA","89.97",9.1
"1305","Kerr County","TX","92.49",3.4
"1306","Kershaw County","SC","95.30",4.3
"1307","Kewaunee County","WI","87.10",3.1
"1308","Keweenaw County","MI","86.24",8
"1309","Keya Paha County","NE","90.48",2
"1310","Kidder County","ND","88.00",2.8
"1311","Kimball County","NE","85.82",3.7
"1312","Kimble County","TX","92.52",3.6
"1313","King and Queen County","VA","92.87",4.3
"1314","King County","TX","94.92",3.9
"1315","King County","WA","84.55",3.8
"1316","King George County","VA","93.13",4.1
"1317","King William County","VA","93.06",3.8
"1318","Kingfisher County","OK","97.79",3.2
"1319","Kingman County","KS","95.44",4.1
"1320","Kings County","CA","92.99",9.3
"1321","Kings County","NY","89.70",5.3
"1322","Kingsbury County","SD","91.03",2.5
"1323","Kinney County","TX","95.67",5.8
"1324","Kiowa County","CO","89.04",2.1
"1325","Kiowa County","KS","94.06",3
"1326","Kiowa County","OK","96.16",5.3
"1327","Kit Carson County","CO","87.71",1.8
"1328","Kitsap County","WA","84.80",5.5
"1329","Kittitas County","WA","82.86",5.6
"1330","Kittson County","MN","88.07",3.4
"1331","Klamath County","OR","81.10",6.3
"1332","Kleberg County","TX","96.93",6.1
"1333","Klickitat County","WA","83.66",6.9
"1334","Knott County","KY","90.81",8.1
"1335","Knox County","IL","94.38",5.4
"1336","Knox County","IN","95.53",3.8
"1337","Knox County","KY","91.62",6.4
"1338","Knox County","ME","87.40",3.6
"1339","Knox County","MO","96.11",3.4
"1340","Knox County","NE","92.85",2.8
"1341","Knox County","OH","90.37",3.9
"1342","Knox County","TN","93.03",3.9
"1343","Knox County","TX","96.18",3.9
"1344","Koochiching County","MN","87.16",9.1
"1345","Kootenai County","ID","82.37",4.6
"1346","Kosciusko County","IN","91.78",3.4
"1347","Kossuth County","IA","92.19",2
"1348","La Crosse County","WI","91.56",3.1
"1349","La Paz County","AZ","93.21",5.5
"1350","La Plata County","CO","81.67",2.3
"1351","La Salle County","TX","97.85",4.7
"1352","Labette County","KS","97.87",5.2
"1353","Lac qui Parle County","MN","92.11",3
"1354","Lackawanna County","PA","88.51",5
"1355","Laclede County","MO","95.67",5.4
"1356","Lafayette County","AR","97.87",5.3
"1357","Lafayette County","MO","96.95",3.3
"1358","Lafayette County","MS","96.43",4.1
"1359","Lafayette County","WI","92.20",2.8
"1360","Lake County","CA","84.17",6.6
"1362","Lake County","IL","92.19",4.6
"1363","Lake County","IN","93.01",5.4
"1364","Lake County","MI","89.12",6.3
"1365","Lake County","MN","86.72",5
"1366","Lake County","MT","82.28",4.2
"1367","Lake County","OH","89.57",4
"1368","Lake County","OR","81.11",6.5
"1369","Lake County","SD","91.05",2.8
"1370","Lake County","TN","97.49",8.3
"1371","Lake of the Woods County","MN","87.09",6
"1372","Lamar County","AL","95.97",5.2
"1373","Lamar County","MS","95.18",3.9
"1374","Lamar County","TX","98.33",4.5
"1375","Lamb County","TX","90.00",5.8
"1376","Lamoille County","VT","87.53",3.9
"1377","Lampasas County","TX","95.68",3.7
"1378","Lancaster County","NE","93.93",2.4
"1379","Lancaster County","PA","90.91",3.8
"1380","Lancaster County","SC","94.65",4.3
"1381","Lancaster County","VA","90.37",4.6
"1382","Lander County","NV","82.26",5.5
"1383","Lane County","KS","92.21",3.2
"1384","Lane County","OR","83.56",4.9
