"","County","State","index","Rate"
"162","Benton County","MO","97.42",4.9
"163","Benton County","MS","96.07",5.4
"164","Benton County","OR","84.26",3.4
"165","Benton County","TN","96.28",6.2
"166","Benton County","WA","86.16",6.2
"167","Benzie County","MI","88.43",5.3
"168","Bergen County","NJ","89.85",3.4
"169","Berkeley County","SC","95.28",3.6
"170","Berkeley County","WV","90.78",3.3
"171","Berks County","PA","90.07",4.5
"172","Berkshire County","MA","87.60",2.9
"173","Bernalillo County","NM","85.35",5.6
"174","Berrien County","MI","91.90",4.4
"175","Bertie County","NC","94.44",6
"176","Bexar County","TX","96.63",3.5
"177","Bibb County","AL","95.67",6.1
"178","Big Horn County","MT","85.28",5.5
"179","Big Horn County","WY","84.19",4
"180","Big Stone County","MN","91.78",4
"181","Billings County","ND","86.13",2.8
"182","Bingham County","ID","83.37",3.5
"183","Black Hawk County","IA","92.75",4.1
"184","Blackford County","IN","91.94",4.8
"185","Bladen County","NC","95.52",6.5
"186","Blaine County","ID","82.77",3.4
"187","Blaine County","MT","83.59",3.8
"188","Blaine County","NE","89.84",4.2
"189","Blaine County","OK","96.52",3.4
"190","Blair County","PA","87.81",4.8
"191","Blanco County","TX","94.87",2.7
"192","Bland County","VA","85.64",5
"193","Bledsoe County","TN","90.78",6.7
"194","Blount County","AL","94.72",5
"195","Blount County","TN","91.88",4.2
"196","Blue Earth County","MN","92.16",2.5
"197","Boise County","ID","81.50",5
"198","Bolivar County","MS","97.76",6.4
"199","Bollinger County","MO","96.74",4.1
"200","Bon Homme County","SD","93.14",2.7
"201","Bond County","IL","96.30",4.4
"202","Bonner County","ID","81.88",5.4
"203","Bonneville County","ID","82.09",3.1
"204","Boone County","AR","95.62",3.2
"205","Boone County","IA","93.41",2.1
"206","Boone County","IL","92.43",5.3
"207","Boone County","IN","92.54",3.1
"208","Boone County","KY","93.57",3.2
"209","Boone County","MO","96.76",2.6
"210","Boone County","NE","92.30",2.8
"211","Boone County","WV","90.16",7
"212","Borden County","TX","92.28",2.8
"213","Bosque County","TX","97.30",4
"214","Botetourt County","VA","89.32",3.6
"215","Bottineau County","ND","86.76",3.2
"216","Boulder County","CO","84.27",2.2
"217","Boundary County","ID","81.68",5.2
"218","Bourbon County","KS","97.85",4.4
"219","Bourbon County","KY","92.85",3.9
"220","Bowie County","TX","98.12",4.5
"221","Bowman County","ND","86.28",2.1
"222","Box Butte County","NE","86.50",3.4
"223","Box Elder County","UT","84.72",2.7
"224","Boyd County","KY","92.72",6.4
"225","Boyd County","NE","92.39",2.9
"226","Boyle County","KY","92.87",4.2
"227","Bracken County","KY","93.16",4.7
"228","Bradford County","PA","88.34",5.3
"229","Bradley County","AR","97.92",4.7
"230","Bradley County","TN","93.98",4
"231","Branch County","MI","90.81",4.3
"232","Braxton County","WV","90.12",7.5
"233","Brazoria County","TX","96.43",4.9
"234","Brazos County","TX","98.04",3
"235","Breathitt County","KY","92.13",7.3
"236","Breckinridge County","KY","94.38",4.6
"237","Bremer County","IA","92.16",3.3
"238","Brewster County","TX","89.43",3.6
"239","Briscoe County","TX","92.04",3.8
"240","Bristol County","MA","88.68",3.1
"241","Bristol County","RI","88.57",4
"242","Broadwater County","MT","82.02",4.1
"243","Bronx County","NY","89.90",7.1
"244","Brooke County","WV","90.23",5.9
"245","Brookings County","SD","90.53",2.1
"246","Brooks County","TX","97.03",9.8
"247","Broome County","NY","88.40",5.1
"248","Brown County","IL","96.56",3.2
"249","Brown County","IN","93.63",3.2
"250","Brown County","KS","95.29",3.4
"251","Brown County","MN","92.46",3.2
"252","Brown County","NE","89.58",3.3
"253","Brown County","OH","92.52",4.9
"254","Brown County","SD","91.09",2.3
"255","Brown County","TX","95.01",3.9
"256","Brown County","WI","89.82",3.3
"257","Brule County","SD","91.60",2.2
"258","Brunswick County","NC","94.65",6.3
"259","Brunswick County","VA","93.64",5.6
"260","Bryan County","OK","98.57",4
"261","Buchanan County","IA","92.74",3.3
"262","Buchanan County","MO","96.01",3.6
"263","Buchanan County","VA","88.57",9.6
"264","Buckingham County","VA","92.78",5.5
"265","Bucks County","PA","90.54",4.3
"266","Buena Vista County","IA","92.22",2.8
"267","Buffalo County","NE","92.07",2.4
"268","Buffalo County","SD","91.13",8.9
"269","Buffalo County","WI","91.50",3.8
"270","Bullitt County","KY","94.80",3.4
"271","Bullock County","AL","95.40",7.4
"272","Buncombe County","NC","87.09",3.7
"273","Bureau County","IL","93.34",5.3
"274","Burke County","NC","90.72",4.8
"275","Burke County","ND","85.71",4.5
"276","Burleigh County","ND","87.77",2.2
"277","Burleson County","TX","98.13",4.1
"278","Burlington County","NJ","91.09",3.6
"279","Burnet County","TX","95.64",3.3
"280","Burnett County","WI","89.83",5.2
"281","Burt County","NE","93.47",3.4
"282","Butler County","AL","95.29",6.4
"283","Butler County","IA","92.60",3.8
"284","Butler County","KS","95.76",4
"285","Butler County","KY","95.43",4.3
"286","Butler County","MO","97.83",4.6
"287","Butler County","NE","93.24",3.3
"288","Butler County","OH","93.16",4
"289","Butler County","PA","88.74",4.5
"290","Butte County","CA","88.40",5.9
"291","Butte County","ID","82.12",4
"292","Butte County","SD","87.44",3.1
"293","Cabarrus County","NC","93.36",4.3
"294","Cabell County","WV","92.31",4.1
"295","Cache County","UT","82.35",2.2
"296","Caddo County","OK","96.63",5
"297","Calaveras County","CA","86.78",5.4
"298","Caldwell County","KY","95.76",4.3
"299","Caldwell County","MO","96.05",3.6
"300","Caldwell County","NC","90.24",5
"301","Caldwell County","TX","97.37",3.8
"302","Caledonia County","VT","87.50",3.6
"303","Calhoun County","AL","94.44",6.2
"304","Calhoun County","AR","97.99",3.7
"305","Calhoun County","IA","92.70",3
"306","Calhoun County","IL","96.83",5.2
"307","Calhoun County","MI","90.87",4.1
"308","Calhoun County","MS","96.45",4.8
"309","Calhoun County","SC","95.76",5.3
"310","Calhoun County","TX","96.72",5
"311","Calhoun County","WV","90.73",11.2
"312","Callahan County","TX","94.24",3.8
"313","Callaway County","MO","96.75",3.2
"314","Calloway County","KY","96.17",3.6
"315","Calumet County","WI","90.06",2.9
"316","Calvert County","MD","90.05",3.4
"317","Camas County","ID","81.29",3.5
"318","Cambria County","PA","86.94",6
"319","Camden County","MO","96.71",4.9
"320","Camden County","NC","93.00",4.6
"321","Camden County","NJ","91.16",4.6
"322","Cameron County","PA","87.50",6.7
"323","Cameron County","TX","95.70",6.6
"324","Camp County","TX","97.97",6.2
"325","Campbell County","KY","93.76",3.2
"326","Campbell County","SD","89.48",3.2
"327","Campbell County","TN","90.49",6.4
"328","Campbell County","VA","92.52",4.4
"329","Campbell County","WY","84.64",5.9
"330","Canadian County","OK","97.03",3.9
"331","Cannon County","TN","93.33",4.3
"332","Canyon County","ID","87.05",4.2
"333","Cape Girardeau County","MO","97.06",3.6
"334","Cape May County","NJ","88.42",10.4
"335","Carbon County","MT","83.65",3.3
"336","Carbon County","PA","88.93",5.6
"337","Carbon County","UT","81.44",4.3
"338","Carbon County","WY","80.93",3.8
"339","Caribou County","ID","80.80",3.8
"340","Carlisle County","KY","97.12",5.7
"341","Carlton County","MN","88.85",4.6
"342","Caroline County","MD","91.84",4.6
"343","Caroline County","VA","93.01",4.3
"344","Carroll County","AR","94.98",3.1
"345","Carroll County","IA","92.58",2.2
"346","Carroll County","IL","93.12",4.4
"347","Carroll County","IN","93.42",3.8
"348","Carroll County","KY","94.09",4.1
"349","Carroll County","MD","90.70",3.2
"350","Carroll County","MO","96.83",4.2
"351","Carroll County","MS","96.34",7.1
"352","Carroll County","NH","87.22",2.7
"353","Carroll County","OH","89.71",5.9
"354","Carroll County","TN","96.29",6.1
"355","Carroll County","VA","86.80",4.9
"356","Carson City","NV","81.40",5.3
"357","Carson County","TX","90.91",2.8
"358","Carter County","KY","92.77",7.6
"359","Carter County","MO","96.84",5.6
"360","Carter County","MT","85.66",2.3
"361","Carter County","OK","97.85",5
"362","Carter County","TN","87.30",5.6
"363","Carteret County","NC","91.98",5.1
"364","Carver County","MN","91.31",2.8
"365","Cascade County","MT","83.02",3.4
"366","Casey County","KY","92.84",4.1
"367","Cass County","IA","93.32",2.3
"368","Cass County","IL","96.05",5.2
"369","Cass County","IN","92.84",4.4
"370","Cass County","MI","91.59",4.3
"371","Cass County","MN","88.18",6.9
"372","Cass County","MO","97.03",3.4
"373","Cass County","ND","89.75",2
"374","Cass County","NE","94.11",3
"375","Cass County","TX","97.98",6.7
"376","Cassia County","ID","83.03",2.8
"377","Castro County","TX","90.03",3.2
"378","Caswell County","NC","93.22",5.1
"379","Catawba County","NC","92.21",4.6
"380","Catron County","NM","81.36",8.6
"381","Cattaraugus County","NY","86.83",5.5
"382","Cavalier County","ND","87.02",2.1
"383","Cayuga County","NY","88.69",4.5
"384","Cecil County","MD","91.81",4.5
"385","Cedar County","IA","93.80",2.6
"386","Cedar County","MO","97.69",3.9
"387","Cedar County","NE","92.45",2.4
"388","Centre County","PA","88.10",3.5
"389","Cerro Gordo County","IA","91.97",3.2
"390","Chaffee County","CO","79.70",2.3
"391","Chambers County","AL","94.30",5
"392","Chambers County","TX","95.92",5.8
"393","Champaign County","IL","93.89",4.5
"394","Champaign County","OH","90.96",4.2
"395","Chariton County","MO","96.92",3.5
"396","Charles City County","VA","93.27",4.4
"397","Charles County","MD","92.92",3.9
"398","Charles Mix County","SD","92.45",2.9
"399","Charleston County","SC","94.58",3.2
"400","Charlevoix County","MI","87.48",4.8
"401","Charlotte County","VA","92.99",5.1
"402","Chase County","KS","95.94",3.1
"403","Chase County","NE","89.74",1.9
"404","Chatham County","NC","93.83",4.1
"405","Chautauqua County","KS","97.69",5.1
"406","Chautauqua County","NY","87.80",5.7
"407","Chaves County","NM","88.77",6.6
"408","Cheatham County","TN","95.29",3.8
"409","Cheboygan County","MI","87.37",9.7
"410","Chelan County","WA","82.04",5.7
"411","Chemung County","NY","87.72",5.1
"412","Chenango County","NY","88.24",4.8
"413","Cherokee County","AL","94.43",4.9
"414","Cherokee County","IA","92.31",2.6
"415","Cherokee County","KS","97.87",4.1
"416","Cherokee County","NC","88.61",5.3
"417","Cherokee County","OK","97.64",5.7
"418","Cherokee County","SC","94.19",4.6
"419","Cherokee County","TX","97.27",4.7
"420","Cherry County","NE","88.21",2.3
"421","Cheshire County","NH","87.70",2.4
"422","Chester County","PA","90.59",3.6
"423","Chester County","SC","94.65",5.8
"424","Chester County","TN","96.12",4.8
"425","Chesterfield County","SC","94.89",4
"426","Chesterfield County","VA","93.02",3.8
"427","Cheyenne County","CO","88.21",2.1
"428","Cheyenne County","KS","89.93",3
"429","Cheyenne County","NE","86.76",2.6
"430","Chickasaw County","IA","91.55",3.3
"431","Chickasaw County","MS","96.31",5.8
"432","Chicot County","AR","97.89",6.1
"433","Childress County","TX","95.37",2.9
"434","Chilton County","AL","95.13",5.2
"435","Chippewa County","MI","88.43",6.2
"436","Chippewa County","MN","91.83",3.4
"437","Chippewa County","WI","90.37",3.4
"438","Chisago County","MN","90.59",3.6
"439","Chittenden County","VT","88.49",2.2
"440","Choctaw County","AL","96.27",8.5
"441","Choctaw County","MS","95.60",4.7
"442","Choctaw County","OK","98.51",8.2
"443","Chouteau County","MT","84.12",2.9
"444","Chowan County","NC","94.26",5.9
"445","Christian County","IL","95.46",5.9
"446","Christian County","KY","95.23",4.7
"447","Christian County","MO","95.31",3
"448","Churchill County","NV","84.58",4.5
"449","Cibola County","NM","82.18",8
"450","Cimarron County","OK","89.44",2.1
"451","Clackamas County","OR","84.32",4.1
"452","Claiborne County","MS","96.83",9.8
"453","Claiborne County","TN","90.53",6
"454","Clallam County","WA","81.78",7.4
"455","Clare County","MI","88.57",6.3
"456","Clarendon County","SC","95.80",5.2
"457","Clarion County","PA","88.27",5.4
"458","Clark County","AR","97.92",3.7
"459","Clark County","ID","81.64",4.8
"460","Clark County","IL","94.82",5
"461","Clark County","IN","94.33",3.8
"462","Clark County","KS","94.40",2.4
"463","Clark County","KY","92.78",3.8
"464","Clark County","MO","96.23",6.3
"465","Clark County","NV","90.50",5.2
"466","Clark County","OH","91.23",4.7
"467","Clark County","SD","90.65",3.4
"468","Clark County","WA","85.42",5.7
"469","Clark County","WI","90.11",3.1
"470","Clarke County","AL","96.04",10.7
"471","Clarke County","IA","94.32",2.7
